parastatal,year,capital expenditure,recurrent expenditure,allocation
MINISTRY OF INTERIOR,2014,,,151970539830
OFFICE OF THE HEAD OF THE CIVIL SERVICE OF THE FEDERATION,2014,,,11565968955
AUDITOR GENERAL FOR THE FEDERATION,2014,,,
MINISTRY OF COMMUNICATION TECHNOLOGY,2014,,,14691964559
OFFICE OF THE NATIONAL SECURITY ADVISER,2014,,,117725072907
INFRASTRUCTURE CONCESSIONARY REGULATORY COMMISSION,2014,,,910149088
OFFICE OF THE SECRETARY TO THE GOVERNMENT OF THE FEDERATION,2014,,,7720386693
FEDERAL MINISTRY OF AGRICULTURE & RURAL DEVELOPMENT,2014,,,66644675939
FEDERAL MINISTRY OF FINANCE,2014,,,1612979146939
"FEDERAL MINISTRY OF INDUSTRY, TRADE AND INVESTMENT",2014,,,16290488745
FEDERAL MINISTRY OF LABOUR AND EMPLOYMENT,2014,,,
FEDERAL MINISTRY OF SCIENCE AND TECHNOLOGY,2014,,,36933818568
FEDERAL MINISTRY OF TRANSPORTATION,2014,,,40001515172
"FEDERAL MINISTRY OF LANDS, HOUSING & URBAN DEVELOPMENT",2014,,,21381376410
MINISTRY OF AVIATION,2014,,,32308750792
FEDERAL MINISTRY OF POWER,2014,,,
FEDERAL MINISTRY OF  WORKS,2014,,,133726558986
MINISTRY OF PETROLEUM RESOURCES,2014,,,61928122676
MINISTRY OF MINES AND STEEL DEVELOPMENT,2014,,,"12,756,825,40"
MINISTRY OF BUDGET AND NATIONAL PLANNING,2014,,,8187200691
"NATIONAL SALARIES, INCOMES AND WAGES COMMISSION",2014,,,890247818
FISCAL RESPONSIBILITY COMMISSION,2014,,,595061526
FEDERAL MINISTRY OF WATER RESOURCES,2014,,,38380974388
FEDERAL MINISTRY OF JUSTICE,2014,,,26918281033
INDEPENDENT CORRUPT PRACTICES AND RELATED OFFENCES COMMISSION,2014,,,
FEDERAL CAPITAL TERRITORY ADMINISTRATION,2014,,,
"FEDERAL MINISTRY OF TOURISM, CULTURE & NATIONAL ORIENTATION",2014,,,21429036358
MINISTRY OF NIGER DELTA AFFAIRS,2014,,,113633319131
FEDERAL MINISTRY OF YOUTH DEVELOPMENT,2014,,,80993794987
FEDERAL MINISTRY OF WOMEN AFFAIRS,2014,,,4530575191
FEDERAL MINISTRY OF EDUCATION,2014,,,495283130268
FEDERAL MINISTRY OF HEALTH,2014,,,264461210950
FEDERAL MINISTRY OF ENVIRONMENT,2014,,,23113862156
NATIONAL POPULATION COMMISSION,2014,,,6494793885
FEDERAL CHARACTER COMMISSION,2014,,,2484573181
FEDERAL MINISTRY OF SPECIAL DUTIES & INTER - GOVERNMENTAL AFFAIRS,2014,,,776061971
FEDERAL MINISTRY OF POLICE AFFAIRS,2014,,,7918883088
,,,,
PRESIDENCY,2013,,,
MINISTRY OF DEFENCE,2013,,,
MINISTRY OF FOREIGN AFFAIRS,2013,,,
FEDERAL MINISTRY OF INFORMATION,2013,,,
"FEDERAL MINISTRY OF TOURISM, CULTURE & NATIONAL ORIENTATION",2013,,,
FEDERAL MINISTRY OF AVIATION,2013,,,
MINISTRY OF INTERIOR,2013,,,
OFFICE OF THE HEAD OF THE CIVIL SERVICE OF THE FEDERATION,2013,,,
